Shear strain %;Storage Modulus;Loss Modulus
0.00933;84274;4331.4
0.0132;80425;8153.6
0.0179;79515;6379.9
0.0237;79224;7555.1
0.0316;78676;7157
0.0423;79359;7338.4
0.0565;79095;7441.4
0.0756;78607;7643.2
0.1;78463;7718.9
0.134;77789;8108.3
0.178;76812;7830.1
0.238;75847;7897.6
0.319;74669;8424.6
0.424;73111;8889.1
0.567;70936;9594.1
0.761;68138;9883.9
1.02;64625;9818.3
1.34;59444;10213
1.83;55705;10031
2.39;51410;10340
3.35;45072;11935
4.19;15010;28679
5.57;13112;26397
7.41;12561;24936
9.86;13370;23998
