Shear strain %;Storage Modulus;Loss Modulus
0.0102;44477;5488.8
0.0133;44966;3525.9
0.0179;45803;4934.6
0.0233;47781;2859.1
0.033;44363;1580.5
0.0421;44879;2522.1
0.0566;43179;4121.2
0.0749;42494;4157.9
0.101;41769;4377.1
0.134;40372;4729.3
0.18;38662;4547.6
0.241;37122;4879.1
0.321;35195;4979.8
0.43;33419;5294.3
0.572;31597;5227.4
0.762;30010;4933.8
1.01;28134;4913.4
1.36;26263;5097
1.79;24065;5780.8
2.38;21782;6760.9
3.15;18471;8776.2
4.21;11928;11342
5.63;5229.1;10263
7.52;2885.4;8062.1
10;1668.5;6387.5
