Time (h);ΔE (V)
0.00332;0.0522
0.00693;0.0574
0.01082;0.0625
0.01527;0.0676
0.02027;0.0727
0.02638;0.0778
0.03249;0.0829
0.03943;0.088
0.04693;0.0932
0.05554;0.0983
0.06471;0.1034
0.07471;0.1085
0.08554;0.1136
0.09721;0.1187
0.10999;0.1239
0.1236;0.129
0.13832;0.1341
0.1536;0.1392
0.17027;0.144
0.18693;0.149
0.2036;0.1535
0.22027;0.1578
0.23693;0.162
0.2536;0.166
0.27027;0.1697
0.28693;0.1735
0.3036;0.1772
0.32027;0.1807
0.33693;0.184
0.3536;0.1874
0.37027;0.1907
0.38693;0.1939
0.4036;0.1972
0.42027;0.2003
0.43693;0.2034
0.4536;0.2065
0.47027;0.2096
0.47943;0.2111
0.47943;-0.082
0.47999;-0.0874
0.48082;-0.0925
0.48221;-0.0977
0.48388;-0.1028
0.48665;-0.1079
0.48999;-0.113
0.49388;-0.1181
0.4986;-0.1232
0.50443;-0.1283
0.51138;-0.1335
0.51915;-0.1386
0.52777;-0.1437
0.53749;-0.1488
0.5486;-0.1539
0.5611;-0.159
0.57443;-0.1642
0.5886;-0.1693
0.60415;-0.1744
0.62082;-0.1793
0.63749;-0.1843
0.65415;-0.1886
0.67082;-0.193
0.68749;-0.197
0.70415;-0.201
0.72082;-0.2046
0.73749;-0.2083
0.75415;-0.2121
0.77082;-0.2155
0.78749;-0.219
0.80415;-0.2224
0.82082;-0.2257
0.83749;-0.2289
0.85415;-0.2322
0.87082;-0.2355
0.88749;-0.2387
0.90415;-0.242
0.92082;-0.2452
0.93749;-0.2483
0.95415;-0.2514
0.97082;-0.2547
0.97943;-0.2564
0.97943;0.0522
0.97971;0.0577
0.98054;0.0631
0.98138;0.0682
0.98277;0.0733
0.98499;0.0784
0.98749;0.0836
0.99082;0.0887
0.99471;0.0938
0.99971;0.0989
1.00554;0.104
1.01221;0.1091
1.02027;0.1142
1.02888;0.1194
1.03915;0.1245
1.05054;0.1296
1.06277;0.1347
1.07638;0.1398
1.09193;0.1449
1.10832;0.15
1.12499;0.1547
1.14165;0.1594
1.15832;0.1637
1.17499;0.1676
1.19165;0.1714
1.20832;0.1752
1.22499;0.1787
1.24165;0.1824
1.25832;0.1857
1.27499;0.1891
1.29165;0.1922
1.30832;0.1953
1.32499;0.1984
1.34165;0.2015
1.35832;0.2045
1.37499;0.2074
1.39165;0.2102
1.40832;0.213
1.42499;0.2159
1.44165;0.2187
1.45832;0.2215
1.47499;0.2243
1.47943;0.2251
1.47943;-0.0732
1.47971;-0.0786
1.48054;-0.0839
1.48193;-0.089
1.4836;-0.0941
1.4861;-0.0992
1.48915;-0.1043
1.49277;-0.1094
1.49749;-0.1146
1.50277;-0.1197
1.50888;-0.1248
1.5161;-0.1299
1.52443;-0.135
1.53388;-0.1401
1.54415;-0.1452
1.55582;-0.1504
1.56832;-0.1555
1.58277;-0.1606
1.59777;-0.1657
1.61388;-0.1708
1.63054;-0.1756
1.64721;-0.1803
1.66388;-0.1848
1.68054;-0.1891
1.69721;-0.1931
1.71388;-0.1972
1.73054;-0.2009
1.74721;-0.2043
1.76388;-0.2079
1.78054;-0.2114
1.79721;-0.2148
1.81388;-0.2183
1.83054;-0.2215
1.84721;-0.2249
1.86388;-0.2279
1.88054;-0.2311
1.89721;-0.2344
1.91388;-0.2376
1.93054;-0.2407
1.94721;-0.2438
1.96388;-0.2469
1.97943;-0.2497
1.97943;0.0589
1.97971;0.0642
1.98054;0.0696
1.98138;0.0747
1.98304;0.0798
1.98499;0.0849
1.98777;0.0901
1.9911;0.0952
1.99527;0.1003
2.00027;0.1054
2.00638;0.1105
2.01332;0.1156
2.02138;0.1208
2.03054;0.1259
2.0411;0.131
2.05221;0.1361
2.06527;0.1412
2.07943;0.1463
2.09499;0.1514
2.11165;0.1564
2.12832;0.1612
2.14499;0.1656
2.16165;0.1697
2.17832;0.1738
2.19499;0.1775
2.21165;0.1814
2.22832;0.1849
2.24499;0.1883
2.26165;0.1917
2.27832;0.1948
2.29499;0.1981
2.31165;0.2012
2.32832;0.2043
2.34499;0.2072
2.36165;0.2102
2.37832;0.213
2.39499;0.2159
2.41165;0.2187
2.42832;0.2215
2.44499;0.2243
2.46165;0.2271
2.47832;0.2299
2.47943;0.23
2.47943;-0.071
2.47999;-0.0764
2.48054;-0.0815
2.48193;-0.0867
2.4836;-0.0918
2.48582;-0.0969
2.48888;-0.102
2.49249;-0.1071
2.49693;-0.1122
2.50221;-0.1173
2.50832;-0.1225
2.51527;-0.1276
2.5236;-0.1327
2.53277;-0.1378
2.54304;-0.1429
2.55443;-0.148
2.56693;-0.1531
2.58082;-0.1583
2.59582;-0.1634
2.61165;-0.1685
2.62832;-0.1733
2.64499;-0.1781
2.66165;-0.1824
2.67832;-0.1868
2.69499;-0.1908
2.71165;-0.1947
2.72832;-0.1984
2.74499;-0.2021
2.76165;-0.2055
2.77832;-0.2091
2.79499;-0.2124
2.81165;-0.2158
2.82832;-0.219
2.84499;-0.2223
2.86165;-0.2254
2.87832;-0.2286
2.89499;-0.2317
2.91165;-0.2348
2.92832;-0.2379
2.94499;-0.2412
2.96165;-0.2443
2.97832;-0.2472
2.97943;-0.2474
2.97943;0.062
2.97971;0.0676
2.98054;0.0729
2.98138;0.078
2.98304;0.0831
2.98499;0.0882
2.98777;0.0933
2.99138;0.0986
2.99582;0.1037
3.00082;0.1088
3.00693;0.1139
3.01388;0.119
3.02249;0.1242
3.03165;0.1293
3.04221;0.1344
3.05388;0.1395
3.06749;0.1446
3.08165;0.1497
3.09749;0.1549
3.11415;0.1598
3.13082;0.1645
3.14749;0.1688
3.16415;0.173
3.18082;0.1769
3.19749;0.1807
3.21415;0.1845
3.23082;0.188
3.24749;0.1913
3.26415;0.1945
3.28082;0.1979
3.29749;0.201
3.31415;0.2041
3.33082;0.2072
3.34749;0.2102
3.36415;0.213
3.38082;0.2159
3.39749;0.2189
3.41415;0.2217
3.43082;0.2245
3.44749;0.2272
3.46415;0.23
3.47943;0.2327
3.47943;-0.0701
3.47999;-0.0753
3.48054;-0.0806
3.48193;-0.0857
3.4836;-0.0908
3.48582;-0.096
3.48888;-0.1011
3.49249;-0.1062
3.49693;-0.1113
3.50221;-0.1164
3.50804;-0.1215
3.51527;-0.1266
3.52332;-0.1318
3.53277;-0.1369
3.54277;-0.142
3.55415;-0.1471
3.56665;-0.1522
3.58082;-0.1573
3.59554;-0.1625
3.61165;-0.1676
3.62832;-0.1724
3.64499;-0.1772
3.66165;-0.1815
3.67832;-0.1857
3.69499;-0.1899
3.71165;-0.1938
3.72832;-0.1976
3.74499;-0.2012
3.76165;-0.2046
3.77832;-0.208
3.79499;-0.2113
3.81165;-0.2147
3.82832;-0.2179
3.84499;-0.2212
3.86165;-0.2245
3.87832;-0.2276
3.89499;-0.2307
3.91165;-0.2338
3.92832;-0.2367
3.94499;-0.2398
3.96165;-0.2429
3.97832;-0.246
3.97943;-0.2462
3.97943;0.0642
3.97971;0.0696
3.98054;0.0749
3.98165;0.08
3.98304;0.0851
3.98527;0.0902
3.98804;0.0953
3.99165;0.1004
3.9961;0.1056
4.0011;0.1107
4.00721;0.1158
4.01471;0.1209
4.02304;0.126
4.03249;0.1311
4.04332;0.1363
4.05499;0.1414
4.06832;0.1465
4.08277;0.1516
4.0986;0.1567
4.11527;0.1617
4.13193;0.1662
4.1486;0.1705
4.16527;0.1747
4.18193;0.1787
4.1986;0.1826
4.21527;0.1863
4.23193;0.1896
4.2486;0.1931
4.26527;0.1964
4.28193;0.1997
4.2986;0.2029
4.31527;0.206
4.33193;0.2091
4.3486;0.2121
4.36527;0.2148
4.38193;0.2178
4.3986;0.2207
4.41527;0.2237
4.43193;0.2265
4.4486;0.2293
4.46527;0.232
4.47943;0.2344
4.47943;-0.069
4.47971;-0.0741
4.48054;-0.0794
4.48165;-0.0845
4.48332;-0.0896
4.48554;-0.0947
4.48832;-0.0998
4.49165;-0.1049
4.49582;-0.1101
4.5011;-0.1152
4.50721;-0.1203
4.51388;-0.1254
4.52193;-0.1305
4.5311;-0.1356
4.5411;-0.1407
4.55221;-0.1459
4.56443;-0.151
4.57804;-0.1561
4.59332;-0.1612
4.60888;-0.1663
4.62554;-0.1713
4.64221;-0.1759
4.65888;-0.1803
4.67554;-0.1846
4.69221;-0.1886
4.70888;-0.1925
4.72554;-0.1964
4.74221;-0.2001
4.75888;-0.2035
4.77554;-0.2069
4.79221;-0.2103
4.80888;-0.2138
4.82554;-0.217
4.84221;-0.2203
4.85888;-0.2234
4.87554;-0.2263
4.89221;-0.2296
4.90888;-0.2327
4.92554;-0.2358
4.94221;-0.2389
4.95888;-0.2418
4.97554;-0.2449
4.97943;-0.2455
4.97943;0.0656
4.97971;0.071
4.98054;0.0764
4.98165;0.0815
4.98332;0.0867
4.98527;0.0918
4.98804;0.0969
4.99193;0.102
4.99638;0.1071
5.00165;0.1122
5.00777;0.1173
5.01527;0.1225
5.0236;0.1276
5.03304;0.1327
5.04388;0.1378
5.05582;0.1429
5.06915;0.148
5.08388;0.1531
5.09971;0.1583
5.11638;0.1631
5.13304;0.1676
5.14971;0.1721
5.16638;0.1761
5.18304;0.1801
5.19971;0.1838
5.21638;0.1876
5.23304;0.191
5.24971;0.1944
5.26638;0.1978
5.28304;0.201
5.29971;0.2043
5.31638;0.2072
5.33304;0.2103
5.34971;0.2131
5.36638;0.2161
5.38304;0.2192
5.39971;0.222
5.41638;0.2248
5.43304;0.2277
5.44971;0.2303
5.46638;0.2331
5.47943;0.2353
5.47943;-0.0693
5.47999;-0.0746
5.48054;-0.0798
5.48193;-0.0849
5.4836;-0.0901
5.48582;-0.0952
5.48888;-0.1003
5.49221;-0.1054
5.49693;-0.1105
5.50221;-0.1156
5.50804;-0.1208
5.51527;-0.1259
5.52304;-0.131
5.53249;-0.1361
5.54249;-0.1412
5.55388;-0.1463
5.56638;-0.1514
5.58054;-0.1566
5.59527;-0.1617
5.61165;-0.1668
5.62832;-0.1716
5.64499;-0.1764
5.66165;-0.1806
5.67832;-0.1849
5.69499;-0.189
5.71165;-0.1928
5.72832;-0.1967
5.74499;-0.2004
5.76165;-0.2038
5.77832;-0.2072
5.79499;-0.2105
5.81165;-0.2138
5.82832;-0.2172
5.84499;-0.2204
5.86165;-0.2235
5.87832;-0.2265
5.89499;-0.2297
5.91165;-0.2328
5.92832;-0.2358
5.94499;-0.2389
5.96165;-0.2418
5.97832;-0.2449
5.97943;-0.2451
5.97943;0.0665
5.97971;0.0719
5.98054;0.0772
5.98165;0.0825
5.98332;0.0876
5.98554;0.0927
5.98832;0.0978
5.99193;0.1029
5.99638;0.108
6.00165;0.1132
6.00804;0.1183
6.01554;0.1234
6.02388;0.1285
6.03332;0.1336
6.04415;0.1387
6.05638;0.1438
6.06971;0.149
6.08415;0.1541
6.09999;0.1592
6.11665;0.164
6.13332;0.1685
6.14999;0.1728
6.16665;0.177
6.18332;0.1809
6.19999;0.1846
6.21665;0.1883
6.23332;0.1917
6.24999;0.1952
6.26665;0.1986
6.28332;0.2018
6.29999;0.2049
6.31665;0.208
6.33332;0.2113
6.34999;0.2141
6.36665;0.217
6.38332;0.22
6.39999;0.2229
6.41665;0.2257
6.43332;0.2285
6.44999;0.2314
6.46665;0.2342
6.47943;0.2361
6.47943;-0.0691
6.47999;-0.0747
6.48054;-0.0798
6.48193;-0.0849
6.4836;-0.0901
6.48582;-0.0952
6.4886;-0.1003
6.49249;-0.1054
6.49693;-0.1105
6.50221;-0.1156
6.50804;-0.1208
6.51499;-0.1259
6.52304;-0.131
6.53249;-0.1361
6.54277;-0.1412
6.55415;-0.1463
6.56665;-0.1514
6.58082;-0.1566
6.59554;-0.1617
6.61165;-0.1668
6.62832;-0.1716
6.64499;-0.1762
6.66165;-0.1806
6.67832;-0.1848
6.69499;-0.189
6.71165;-0.1928
6.72832;-0.1967
6.74499;-0.2003
6.76165;-0.2037
6.77832;-0.2071
6.79499;-0.2105
6.81165;-0.2139
6.82832;-0.2172
6.84499;-0.2203
6.86165;-0.2234
6.87832;-0.2263
6.89499;-0.2294
6.91165;-0.2325
6.92832;-0.2355
6.94499;-0.2386
6.96165;-0.2415
6.97832;-0.2446
6.97943;-0.2449
6.97943;0.067
6.97971;0.0724
6.98054;0.0777
6.98165;0.0829
6.98332;0.088
6.98527;0.0932
6.98832;0.0983
6.99193;0.1034
6.99638;0.1085
7.00165;0.1136
7.00777;0.1187
7.01527;0.1239
7.02388;0.129
7.03304;0.1341
7.04388;0.1392
7.0561;0.1443
7.06971;0.1494
7.08415;0.1545
7.09971;0.1597
7.11638;0.1645
7.13304;0.169
7.14971;0.1733
7.16638;0.1775
7.18304;0.1814
7.19971;0.1852
7.21638;0.189
7.23304;0.1924
7.24971;0.1958
7.26638;0.1992
7.28304;0.2024
7.29971;0.2055
7.31638;0.2086
7.33304;0.2119
7.34971;0.2147
7.36638;0.2176
7.38332;0.2206
7.39999;0.2234
7.41665;0.2263
7.43332;0.2291
7.44999;0.232
7.46665;0.2347
7.47943;0.2367
7.47943;-0.069
7.47971;-0.0741
7.48054;-0.0792
7.48165;-0.0845
7.48332;-0.0896
7.48554;-0.0947
7.4886;-0.0998
7.49193;-0.1049
7.4961;-0.1101
7.50165;-0.1152
7.50749;-0.1203
7.51443;-0.1254
7.52249;-0.1305
7.53165;-0.1356
7.54165;-0.1407
7.55277;-0.1459
7.56527;-0.151
7.57888;-0.1561
7.59415;-0.1612
7.60999;-0.1663
7.62665;-0.1711
7.64332;-0.1758
7.65999;-0.1801
7.67665;-0.1845
7.69332;-0.1885
7.70999;-0.1924
7.72665;-0.1962
7.74332;-0.2
7.75999;-0.2034
7.77665;-0.2068
7.79332;-0.21
7.80999;-0.2134
7.82665;-0.2167
7.84332;-0.2198
7.85999;-0.2231
7.87693;-0.226
7.8936;-0.2291
7.91027;-0.2322
7.92693;-0.2353
7.9436;-0.2384
7.96027;-0.2412
7.97693;-0.2443
7.97943;-0.2448
7.97943;0.0676
7.97971;0.073
7.98054;0.0783
7.98165;0.0834
7.98304;0.0885
7.98527;0.0938
7.98832;0.0989
7.99193;0.104
7.9961;0.1091
8.00165;0.1142
8.00777;0.1194
8.01527;0.1245
8.0236;0.1296
8.03304;0.1347
8.04388;0.1398
8.05638;0.1449
8.06943;0.15
8.08415;0.1552
8.09999;0.1603
8.11665;0.1652
8.13332;0.1696
8.14999;0.1741
8.16665;0.1781
8.18332;0.1821
8.19999;0.1859
8.21665;0.1893
8.23332;0.193
8.24999;0.1964
8.26665;0.1998
8.28332;0.2029
8.29999;0.2062
8.31665;0.2093
8.33332;0.2122
8.34999;0.2152
8.36665;0.2181
8.38332;0.221
8.39999;0.224
8.41665;0.2268
8.43332;0.2296
8.44999;0.2324
8.46665;0.2353
8.47943;0.2372
8.47943;-0.0684
8.47971;-0.0735
8.48054;-0.0786
8.48165;-0.0837
8.48332;-0.0888
8.48527;-0.0941
8.48804;-0.0992
8.49165;-0.1043
8.49582;-0.1094
8.5011;-0.1146
