Shear strain %;Storage Modulus;Loss Modulus
0.00962;36196;2571.8
0.0134;37111;2834.8
0.0185;35762;3619.5
0.0233;39653;3912.7
0.0317;37379;2108.9
0.0419;37187;2704
0.056;37309;2771.9
0.0749;37051;2758.1
0.0999;36901;2918.2
0.134;36739;2732
0.178;36735;2841.4
0.238;36549;2821.2
0.316;36357;2876.6
0.424;36167;2964.2
0.566;35816;3163.2
0.751;35486;3217.1
1.01;34918;3385.2
1.35;33947;3681.2
1.8;32676;4203.4
2.42;30672;5251.3
3.2;12460;18120
4.27;4820.9;14617
5.68;2256.8;11147
7.61;1108.4;8394.3
10.2;360.21;5536
