Time (h);ΔE (V)
0;0.0298
2.80E-04;0.0353
5.50E-04;0.0409
0.00111;0.0462
0.00167;0.0518
0.00222;0.0572
0.00305;0.0625
0.00417;0.0676
0.00528;0.0727
0.00667;0.0778
0.00805;0.0834
0.01;0.0887
0.01222;0.0938
0.01444;0.0989
0.01722;0.1042
0.02028;0.1093
0.02361;0.1144
0.02722;0.1195
0.03139;0.1248
0.03611;0.1299
0.04111;0.135
0.04667;0.1403
0.0525;0.1454
0.05917;0.1507
0.06639;0.1558
0.07361;0.1609
0.08167;0.166
0.09028;0.1711
0.09917;0.1762
0.10889;0.1815
0.11889;0.1866
0.12972;0.1917
0.14055;0.1969
0.1525;0.202
0.165;0.2071
0.1775;0.2122
0.19139;0.2173
0.20528;0.2224
0.22028;0.2276
0.23444;0.2327
0.25028;0.2378
0.26583;0.2429
0.28222;0.248
0.29889;0.2531
0.31528;0.2582
0.33194;0.2627
0.34805;0.2679
0.36472;0.2722
0.38055;0.2773
0.39722;0.282
0.41389;0.2863
0.43055;0.291
0.44722;0.2956
0.46389;0.3007
0.48055;0.3052
0.49722;0.3097
0.5;0.3103
0.5;-0.0603
0.50055;-0.0657
0.50111;-0.071
0.50194;-0.0764
0.50278;-0.0818
0.50389;-0.087
0.50528;-0.0922
0.50667;-0.0975
0.50833;-0.1026
0.51028;-0.1077
0.51222;-0.113
0.51444;-0.1181
0.51722;-0.1235
0.52028;-0.1287
0.52361;-0.1341
0.52722;-0.1392
0.53111;-0.1445
0.53528;-0.1496
0.53972;-0.1547
0.54472;-0.1598
0.55;-0.1649
0.55555;-0.17
0.56167;-0.1752
0.56805;-0.1803
0.57528;-0.1855
0.58305;-0.1907
0.59083;-0.1958
0.59889;-0.2009
0.60778;-0.206
0.61722;-0.2111
0.62667;-0.2162
0.63667;-0.2214
0.64722;-0.2265
0.65861;-0.2316
0.66944;-0.2367
0.68194;-0.2418
0.69389;-0.2469
0.70667;-0.252
0.71944;-0.2572
0.73305;-0.2623
0.74667;-0.2674
0.76139;-0.2725
0.77611;-0.2776
0.79028;-0.2827
0.80583;-0.2879
0.82083;-0.293
0.83667;-0.2981
0.85222;-0.3032
0.86778;-0.3083
0.88361;-0.3134
0.9;-0.3185
0.91555;-0.3237
0.93194;-0.3288
0.94778;-0.3339
0.96361;-0.339
0.98028;-0.3435
0.99389;-0.3486
1;-0.3503
1;0.0344
1.00028;0.04
1.00083;0.0463
1.00139;0.0522
1.00194;0.0578
1.00278;0.0632
1.00361;0.0684
1.00472;0.0735
1.00583;0.0787
1.0075;0.084
1.00944;0.0896
1.01139;0.095
1.01389;0.1001
1.01639;0.1057
1.01972;0.111
1.02278;0.1161
1.02639;0.1212
1.03083;0.1266
1.03528;0.1318
1.04;0.1369
1.04555;0.142
1.05111;0.1471
1.0575;0.1522
1.06444;0.1573
1.07167;0.1625
1.07917;0.1676
1.08722;0.1727
1.09639;0.1778
1.10555;0.1829
1.11528;0.188
1.12555;0.1931
1.13694;0.1983
1.14861;0.2034
1.16055;0.2085
1.17305;0.2136
1.18639;0.2187
1.20028;0.2238
1.21444;0.2289
1.22889;0.2341
1.24361;0.2392
1.25944;0.2443
1.27528;0.2494
1.29139;0.2545
1.30805;0.2596
1.32472;0.2646
1.34139;0.2691
1.35694;0.2742
1.37361;0.279
1.39028;0.2834
1.40583;0.2885
1.4225;0.2925
1.43833;0.2976
1.455;0.3023
1.47167;0.3065
1.4875;0.3116
1.5;0.315
1.5;-0.0575
1.50055;-0.0634
1.50111;-0.069
1.50194;-0.0741
1.50278;-0.0792
1.50389;-0.0843
1.50528;-0.0896
1.50667;-0.0947
1.50833;-0.0998
1.51;-0.1051
1.51222;-0.1104
1.51472;-0.1158
1.51722;-0.1211
1.52;-0.1262
1.52333;-0.1314
1.52667;-0.1366
1.53083;-0.1417
1.53472;-0.1468
1.53944;-0.1521
1.54444;-0.1572
1.54972;-0.1626
1.55555;-0.1679
1.56194;-0.1731
1.56861;-0.1783
1.57555;-0.1834
1.58305;-0.1885
1.59083;-0.1936
1.59917;-0.1987
1.60778;-0.2038
1.61778;-0.209
1.62722;-0.2141
1.6375;-0.2192
1.64805;-0.2243
1.65944;-0.2294
1.67083;-0.2345
1.68305;-0.2396
1.69528;-0.2448
1.70861;-0.25
1.72222;-0.2551
1.73583;-0.2603
1.75028;-0.2655
1.76472;-0.2706
1.78;-0.2758
1.79472;-0.2809
1.81055;-0.2861
1.82639;-0.2913
1.84222;-0.2964
1.85805;-0.3015
1.87444;-0.3066
1.89055;-0.3117
1.90722;-0.3165
1.92333;-0.3216
1.93972;-0.3268
1.95639;-0.3317
1.97278;-0.3368
1.98944;-0.3418
2;-0.3449
2;0.0361
2.00028;0.0422
2.00055;0.0473
2.00111;0.0527
2.00167;0.058
2.0025;0.0639
2.00361;0.0691
2.00444;0.0744
2.00583;0.0795
2.00722;0.0851
2.00917;0.0902
2.01111;0.0953
2.01333;0.1004
2.01583;0.1057
2.01889;0.111
2.02194;0.1161
2.02555;0.1212
2.02944;0.1263
2.03361;0.1314
2.03861;0.1366
2.04361;0.1417
2.04917;0.1469
2.05528;0.1521
2.06222;0.1572
2.06917;0.1623
2.07639;0.1674
2.08472;0.1727
2.09361;0.1778
2.10278;0.1831
2.11278;0.1882
2.12278;0.1933
2.13361;0.1984
2.14528;0.2035
2.15722;0.2088
2.16944;0.2139
2.18222;0.219
2.19611;0.2241
2.21;0.2293
2.22444;0.2344
2.23917;0.2395
2.25444;0.2446
2.27028;0.2497
2.28583;0.2548
2.30222;0.26
2.31889;0.2648
2.335;0.2699
2.35167;0.2745
2.36805;0.2798
2.38472;0.2846
2.40139;0.2894
2.41805;0.2937
2.43444;0.2989
2.45111;0.3035
2.46778;0.3083
2.48444;0.3128
2.5;0.3168
2.5;-0.055
2.50055;-0.0606
2.50083;-0.0657
2.50167;-0.0713
2.50278;-0.0767
2.50389;-0.0822
2.505;-0.0874
2.50667;-0.0925
2.50805;-0.0978
2.51;-0.1032
2.51222;-0.1084
2.51444;-0.1136
2.51694;-0.1187
2.51972;-0.124
2.52305;-0.1291
2.52639;-0.1342
2.53028;-0.1394
2.53417;-0.1445
2.53861;-0.1496
2.54333;-0.1547
2.54861;-0.1598
2.55417;-0.1649
2.56055;-0.1702
2.56694;-0.1755
2.57389;-0.1806
2.58139;-0.1857
2.58944;-0.1908
2.59722;-0.1959
2.60639;-0.2012
2.61639;-0.2063
2.62583;-0.2114
2.63639;-0.2167
2.64694;-0.2218
2.65805;-0.2269
2.67;-0.232
2.68194;-0.2372
2.69444;-0.2423
2.70722;-0.2474
2.72111;-0.2525
2.73472;-0.2576
2.74861;-0.2627
2.76305;-0.2679
2.77805;-0.273
2.79333;-0.2781
2.80889;-0.2832
2.82444;-0.2883
2.84055;-0.2934
2.85722;-0.2982
2.87222;-0.3034
2.88889;-0.3083
2.905;-0.3134
2.92167;-0.3178
2.93694;-0.323
2.95361;-0.3277
2.96889;-0.3328
2.98555;-0.3379
3;-0.3418
3;0.0361
3.00028;0.0425
3.00055;0.0476
3.00111;0.053
3.00167;0.0581
3.0025;0.064
3.00333;0.0691
3.00444;0.0744
3.00555;0.0797
3.00694;0.0848
3.00861;0.0901
3.01055;0.0955
3.01278;0.1006
3.01528;0.1057
3.01833;0.1108
3.02139;0.1161
3.025;0.1215
3.02889;0.1266
3.03305;0.1319
3.03805;0.137
3.04305;0.1421
3.04861;0.1474
3.05472;0.1525
3.06139;0.1578
3.06833;0.1629
3.07583;0.168
3.08361;0.1731
3.0925;0.1783
3.10167;0.1834
3.11139;0.1886
3.12139;0.1938
3.13222;0.1989
3.14389;0.204
3.15583;0.2091
3.16805;0.2142
3.18055;0.2193
3.19444;0.2245
3.20778;0.2296
3.22222;0.2347
3.23694;0.24
3.25222;0.2451
3.26778;0.2502
3.28361;0.2553
3.3;0.2604
3.31667;0.2654
3.33333;0.2703
3.34972;0.2755
3.36639;0.2798
3.38194;0.2849
3.39861;0.2897
3.41528;0.2944
3.43194;0.2992
3.44833;0.3043
3.46472;0.3086
3.48139;0.3137
3.49805;0.3182
3.5;0.3185
3.5;-0.0535
3.50055;-0.0589
3.50083;-0.0643
3.50167;-0.0696
3.5025;-0.075
3.50361;-0.0801
3.505;-0.0856
3.50639;-0.0908
3.50805;-0.0964
3.51;-0.1017
3.51194;-0.1068
3.51417;-0.1121
3.51694;-0.1173
3.51972;-0.1225
3.52278;-0.1277
3.52611;-0.1328
3.53;-0.138
3.53417;-0.1431
3.53861;-0.1482
3.54305;-0.1533
3.54861;-0.1584
3.55417;-0.1635
3.56;-0.1687
3.56667;-0.1738
3.57361;-0.179
3.58111;-0.1842
3.58889;-0.1893
3.59722;-0.1945
3.60611;-0.1997
3.61555;-0.2048
3.62555;-0.2099
3.63555;-0.215
3.64611;-0.2201
3.6575;-0.2254
3.66944;-0.2305
3.68139;-0.2356
3.69417;-0.2407
3.70694;-0.2458
3.72083;-0.251
3.73444;-0.2561
3.74861;-0.2612
3.76333;-0.2663
3.77778;-0.2714
3.79361;-0.2765
3.80944;-0.2817
3.825;-0.2868
3.84111;-0.2919
3.85778;-0.2964
3.87278;-0.3015
3.88944;-0.3066
3.90611;-0.3113
3.92194;-0.3165
3.93861;-0.3209
3.95389;-0.326
3.97055;-0.3306
3.98583;-0.3358
4;-0.3398
4;0.0369
4.00028;0.0429
4.00055;0.0484
4.00111;0.0536
4.00167;0.0597
4.0025;0.0651
4.00361;0.0705
4.00472;0.0758
4.00583;0.0809
4.00722;0.086
4.00917;0.0915
4.01111;0.0967
4.01333;0.1018
4.01583;0.1071
4.01889;0.1124
4.02194;0.1175
4.02555;0.1226
4.02944;0.1277
4.03389;0.1328
4.03861;0.138
4.04389;0.1432
4.04944;0.1483
4.05555;0.1535
4.06222;0.1587
4.06917;0.1638
4.07694;0.169
4.085;0.1741
4.09361;0.1792
4.10278;0.1843
4.11222;0.1894
4.1225;0.1945
4.13305;0.1997
4.14444;0.2048
4.15611;0.2099
4.16833;0.215
4.18139;0.2201
4.195;0.2252
4.20861;0.2303
4.22278;0.2355
4.2375;0.2406
4.25278;0.2457
4.26833;0.2508
4.28417;0.2559
4.3;0.261
4.31667;0.2662
4.33333;0.2708
4.34944;0.2759
4.36611;0.2804
4.38139;0.2857
4.39805;0.2903
4.41472;0.295
4.43083;0.3001
4.4475;0.3046
4.46333;0.3097
4.48;0.3139
4.49555;0.319
4.5;0.3201
4.5;-0.0521
4.50055;-0.0581
4.50111;-0.064
4.50194;-0.0693
4.50278;-0.0746
4.50389;-0.0797
4.505;-0.0848
4.50639;-0.0899
4.50805;-0.0953
4.51;-0.1004
4.51194;-0.1056
4.51417;-0.111
4.51694;-0.1164
4.51972;-0.1215
4.52278;-0.1268
4.52639;-0.1321
4.53;-0.1372
4.53444;-0.1426
4.53889;-0.1477
4.54361;-0.1528
4.54889;-0.1581
4.555;-0.1634
4.56111;-0.1685
4.5675;-0.1738
4.57444;-0.1789
4.58222;-0.184
4.59;-0.1891
4.59833;-0.1942
4.60722;-0.1993
4.61639;-0.2045
4.62639;-0.2096
4.63667;-0.2147
4.6475;-0.2198
4.65861;-0.2249
4.67083;-0.23
4.68278;-0.2352
4.695;-0.2403
4.70833;-0.2454
4.72194;-0.2505
4.73555;-0.2556
4.75;-0.2607
4.76444;-0.2658
4.78;-0.271
4.79555;-0.2761
4.81139;-0.2812
4.8275;-0.2863
4.84389;-0.2916
4.86055;-0.2964
4.87694;-0.3016
4.89361;-0.3063
4.90944;-0.3114
4.92611;-0.3159
4.94194;-0.321
4.95861;-0.326
4.97528;-0.3309
4.99194;-0.3358
5;-0.3382
5;0.0364
5.00028;0.0415
5.00055;0.0473
5.00111;0.0529
5.00167;0.0584
5.00222;0.0636
5.00333;0.0691
5.00444;0.0742
5.00555;0.0795
5.00694;0.0848
5.00861;0.0901
5.01055;0.0952
5.01278;0.1004
5.015;0.1056
5.01778;0.1107
5.02083;0.1158
5.02417;0.1209
5.02805;0.126
5.03222;0.1311
5.03694;0.1364
5.04194;0.1415
5.04722;0.1466
5.05333;0.1518
5.05972;0.1569
5.06639;0.162
5.07361;0.1671
5.08139;0.1722
5.09;0.1775
5.09944;0.1828
5.10889;0.1879
5.11861;0.193
5.12917;0.1981
5.14055;0.2032
5.15194;0.2083
5.16417;0.2134
5.17667;0.2186
5.19028;0.2237
5.20389;0.2288
5.21778;0.2339
5.23194;0.239
5.24722;0.2441
5.26305;0.2493
5.27833;0.2544
5.29472;0.2595
5.31055;0.2646
5.32722;0.2691
5.3425;0.2742
5.35917;0.279
5.37583;0.2838
5.39222;0.2891
5.40889;0.2934
5.42528;0.2985
5.44194;0.303
5.45778;0.3082
5.47444;0.3125
5.49;0.3176
5.5;0.3199
5.5;-0.0507
5.50055;-0.0569
5.50111;-0.0623
5.50167;-0.0676
5.50278;-0.0727
5.50389;-0.078
5.505;-0.0831
5.50639;-0.0884
5.50805;-0.0935
5.50972;-0.0986
5.51167;-0.1037
5.51389;-0.109
5.51639;-0.1144
5.51917;-0.1195
5.52222;-0.1246
5.52555;-0.1297
5.52889;-0.1349
5.53305;-0.14
5.5375;-0.1451
5.54222;-0.1504
5.5475;-0.1556
5.55305;-0.1607
5.55917;-0.1659
5.56555;-0.1711
5.5725;-0.1762
5.57972;-0.1814
5.5875;-0.1865
5.59583;-0.1916
5.60444;-0.1967
5.61361;-0.2018
5.62333;-0.2069
5.63361;-0.2121
5.64417;-0.2172
5.65528;-0.2223
5.66694;-0.2274
5.67917;-0.2325
5.69167;-0.2376
5.70472;-0.2427
5.71778;-0.2479
5.73222;-0.253
5.74639;-0.2581
5.76111;-0.2632
5.77639;-0.2683
5.7925;-0.2734
5.80778;-0.2786
5.82389;-0.2837
5.84028;-0.2888
5.85639;-0.2939
5.87305;-0.2982
5.88778;-0.3034
5.90444;-0.3083
5.92111;-0.313
5.93722;-0.3181
5.95389;-0.3226
5.97;-0.3277
5.98667;-0.3325
6;-0.3362
6;0.0369
6.00028;0.0422
6.00055;0.0473
6.00111;0.0529
6.00167;0.0581
6.0025;0.0632
6.00333;0.0687
6.00417;0.0738
6.00555;0.0792
6.00694;0.0843
6.00861;0.0894
6.01055;0.0949
6.01278;0.1001
6.015;0.1053
6.01778;0.1104
6.02111;0.1158
6.02444;0.1209
6.02833;0.126
6.0325;0.1311
6.03694;0.1363
6.04194;0.1414
6.0475;0.1465
6.05305;0.1516
6.05972;0.1567
6.06639;0.1618
6.07389;0.1671
6.08167;0.1724
6.09;0.1775
6.09944;0.1826
6.10861;0.1877
6.11861;0.1928
6.12889;0.1979
6.14028;0.2031
6.15194;0.2082
6.16389;0.2133
6.17639;0.2184
6.19;0.2235
6.20333;0.2286
6.21722;0.2338
6.23222;0.2389
6.24694;0.244
6.26222;0.2491
6.27778;0.2542
6.29333;0.2593
6.30944;0.2644
6.32611;0.2693
6.34194;0.2744
6.35861;0.279
6.37389;0.2841
6.39055;0.2885
6.40667;0.2936
6.42333;0.2984
6.44;0.3027
6.45555;0.3078
6.47222;0.3123
6.48861;0.3175
6.5;0.3207
6.5;-0.0501
6.50055;-0.056
6.50111;-0.0612
6.50167;-0.0663
6.50278;-0.0715
6.50361;-0.0766
6.50472;-0.082
6.50639;-0.0874
6.50778;-0.0925
6.50944;-0.0977
6.51167;-0.1031
6.51389;-0.1084
6.51639;-0.1135
6.51889;-0.1186
6.52194;-0.1237
6.52528;-0.1288
6.52889;-0.1339
6.53278;-0.139
6.53722;-0.1442
6.54167;-0.1493
6.54667;-0.1544
6.55222;-0.1595
6.55833;-0.1646
6.56444;-0.1697
6.57111;-0.1749
6.57833;-0.18
6.58639;-0.1852
6.59444;-0.1904
6.60333;-0.1955
6.61222;-0.2006
6.62194;-0.2057
6.63222;-0.2108
6.64278;-0.2159
6.65361;-0.221
6.665;-0.2262
6.6775;-0.2313
6.68972;-0.2364
6.70278;-0.2415
6.71583;-0.2466
6.73028;-0.2519
6.745;-0.257
6.75972;-0.2623
6.77472;-0.2674
6.79083;-0.2725
6.80639;-0.2776
6.8225;-0.2827
6.83889;-0.2879
6.85472;-0.293
6.87139;-0.2976
6.8875;-0.3027
6.90417;-0.3078
6.92083;-0.3125
6.9375;-0.3173
6.95389;-0.3224
6.97055;-0.3272
6.98722;-0.332
7;-0.3362
7;0.0369
7.00028;0.0428
7.00083;0.0479
7.00111;0.053
7.00167;0.0581
7.0025;0.0632
7.00333;0.0684
7.00417;0.0735
7.00555;0.0787
7.00694;0.0839
7.00861;0.0894
7.01055;0.0949
7.01278;0.1001
7.015;0.1053
7.01805;0.1104
7.02111;0.1156
7.02444;0.1208
7.02833;0.126
7.0325;0.1311
7.03722;0.1364
7.0425;0.1417
7.04778;0.1469
7.05389;0.1521
7.06055;0.1572
7.06722;0.1623
7.07444;0.1674
7.08222;0.1725
7.09055;0.1776
7.09972;0.1828
7.10944;0.188
7.11944;0.1931
7.12972;0.1983
7.14111;0.2034
7.15278;0.2085
7.165;0.2136
7.1775;0.2187
7.19111;0.2238
7.20444;0.2289
7.21861;0.2341
7.23305;0.2392
7.24778;0.2443
7.26361;0.2494
7.27917;0.2545
7.295;0.2596
7.31139;0.2648
7.32805;0.2697
7.34444;0.2748
7.36111;0.2798
7.37778;0.2849
7.39444;0.2894
7.41028;0.2945
7.42694;0.2992
7.44333;0.3043
7.46;0.3092
7.47667;0.3136
7.49222;0.3187
7.5;0.3204
7.5;-0.0499
7.50055;-0.0555
7.50111;-0.0609
7.50194;-0.0662
7.50278;-0.0713
7.50389;-0.0766
7.505;-0.0818
7.50639;-0.0871
7.50805;-0.0922
7.50972;-0.0975
7.51167;-0.1026
7.51389;-0.1079
7.51639;-0.113
7.51917;-0.1181
7.52222;-0.1234
7.52555;-0.1285
7.52917;-0.1336
7.53305;-0.1387
7.5375;-0.1438
7.54222;-0.149
7.54722;-0.1541
7.55278;-0.1592
7.55889;-0.1645
7.56528;-0.1696
7.57222;-0.1749
7.57944;-0.18
7.5875;-0.1852
7.59583;-0.1904
7.60444;-0.1955
7.61333;-0.2006
7.62333;-0.2057
7.63389;-0.2108
7.64417;-0.2159
7.65528;-0.221
7.66667;-0.2262
7.67917;-0.2313
7.69167;-0.2365
7.70472;-0.2417
7.71833;-0.2468
7.7325;-0.2519
7.74667;-0.257
7.76139;-0.2621
7.77639;-0.2672
7.7925;-0.2724
7.80778;-0.2775
7.82389;-0.2826
7.84;-0.2877
7.85667;-0.2927
7.87305;-0.2978
7.88972;-0.3024
7.90555;-0.3075
7.92222;-0.3122
7.93805;-0.3173
7.95472;-0.3221
7.97139;-0.3268
7.98722;-0.3319
8;-0.3354
8;0.0357
8.00028;0.0408
8.00055;0.0462
8.00111;0.0519
8.00167;0.057
8.00222;0.0626
8.00333;0.0679
8.00417;0.0735
8.00555;0.0786
8.00694;0.0837
8.00861;0.089
8.01028;0.0941
8.0125;0.0994
8.015;0.1048
8.01778;0.1101
8.02083;0.1152
8.02444;0.1206
8.02833;0.1257
8.03222;0.1308
8.03722;0.1361
8.04194;0.1412
8.0475;0.1463
8.05305;0.1514
8.05972;0.1566
8.06639;0.1617
8.07389;0.1669
8.08167;0.1721
8.09;0.1772
8.09917;0.1824
8.10861;0.1876
8.11889;0.1927
8.12917;0.1978
8.14028;0.2029
8.15194;0.208
8.16389;0.2133
8.17667;0.2184
8.19028;0.2235
8.20361;0.2286
8.2175;0.2338
8.23222;0.2389
8.24694;0.244
8.2625;0.2491
8.27778;0.2542
8.29333;0.2593
8.30944;0.2644
8.32611;0.2691
8.34194;0.2742
8.35833;0.2793
8.375;0.284
8.39111;0.2891
8.40778;0.2939
8.42444;0.2989
8.44111;0.3034
8.45694;0.3085
8.47361;0.3128
8.48917;0.3179
8.5;0.321
8.5;-0.0488
8.50055;-0.0541
8.50111;-0.0595
8.50167;-0.0654
8.50278;-0.0708
8.50389;-0.0764
8.505;-0.0817
8.50667;-0.0871
8.50805;-0.0922
8.51;-0.0977
8.51222;-0.1029
8.51444;-0.108
8.51694;-0.1132
8.51944;-0.1183
8.5225;-0.1234
8.52583;-0.1287
8.52972;-0.1338
8.53389;-0.1389
8.53805;-0.144
8.54278;-0.1491
8.54778;-0.1544
8.55361;-0.1595
8.55972;-0.1648
8.56611;-0.1699
8.57305;-0.175
8.58028;-0.1801
8.58805;-0.1852
8.59639;-0.1905
8.60528;-0.1958
8.61472;-0.201
8.62472;-0.2062
8.63528;-0.2113
8.64583;-0.2164
8.65694;-0.2215
8.66861;-0.2268
8.68139;-0.2319
8.69389;-0.237
8.70694;-0.2421
8.72028;-0.2472
8.73472;-0.2524
8.74917;-0.2575
8.76389;-0.2626
8.77889;-0.2677
8.795;-0.273
8.81111;-0.2781
8.82694;-0.2832
8.84361;-0.2879
8.85805;-0.293
8.87472;-0.2975
8.89028;-0.3026
8.90694;-0.3074
8.92333;-0.3125
8.94;-0.317
8.95639;-0.3221
8.97305;-0.3266
8.98861;-0.3317
9;-0.3348
9;0.0353
9.00028;0.0411
9.00055;0.0465
9.00111;0.0521
9.00167;0.0572
9.0025;0.0626
9.00333;0.0677
9.00444;0.0732
9.00555;0.0786
9.00694;0.0839
9.00889;0.0891
9.01055;0.0942
9.01278;0.0994
9.01528;0.1046
9.01805;0.1097
9.02111;0.115
9.02472;0.1204
9.02833;0.1256
9.0325;0.1307
9.03722;0.1358
9.04222;0.1409
9.04778;0.146
9.05333;0.1511
9.05972;0.1563
9.06667;0.1614
9.07389;0.1666
9.08194;0.1718
9.09;0.1769
9.09917;0.1821
9.10889;0.1873
9.11861;0.1924
9.12917;0.1975
9.14028;0.2026
9.15194;0.2077
9.16389;0.213
9.17667;0.2181
9.19028;0.2232
