Sample name;PVDF-HFP%;Jeffamine%;LiTFSI%
PHJ_11_201;42.73;42.73;14.53
PHJ_11_151;40.76182;40.76182;18.47637
PHJ_11_101;37.31462;37.31462;25.37075
PHJ_13_251;20.76456;62.29369;16.94175
PHJ_13_201;19.92083;59.76248;20.31669
PHJ_13_151;18.65731;55.97194;25.37075
PHJ_31_151;67.36613;22.45538;10.17849
PHJ_13_101;16.55699;49.67098;33.77202
PHJ_14_201;15.72369;62.89477;21.38153
PHJ_14_151;14.6776;58.71038;26.61202
PHJ_14_251;16.42612;65.7045;17.86938
PHJ_17_201;9.63419;67.43932;22.92649
Sugg_CG;22;58;20
Diff_Ev_2;21.12859;74.56057;4.31084
Diff_Ev_PySR_2;26.23;58.42;15.34
Diff_Ev_Eq_6c_1;20.23;66.16;13.61
Diff_Ev_Eq_6c_3;21.44;51.7;26.87
Poly-2_log_opt1;21.53981;57.54603;20.91416
Poly-2_log_opt2;20.46924;58.44773;21.08303
xemp;22.52502;56.23378;21.2412
xopt;24.9;51.8;23.3
